s<0.10.0>,93496, 90808
s<0.0.0>,104344, 143432
s<0.10.0>,13384, 14680
s<0.10.0>,20680, 21496
s<0.10.0>,25584, 22280
s<0.0.0>,233104, 142824
s<0.0.0>,43176, 99720
s<0.10.0>,39192, 35864
s<0.10.0>,17736, 14416
s<0.10.0>,25912, 22592
s<0.10.0>,59560, 56256
s<0.10.0>,12792, 13216
s<0.10.0>,13096, 12808
s<0.10.0>,17688, 15024
s<0.10.0>,25744, 22432
s<0.10.0>,19008, 15696
s<0.10.0>,17696, 14384
s<0.50.0>,151296, 260760
s<0.10.0>,14664, 14368
s<0.10.0>,13184, 13816
s<0.10.0>,12792, 13296
s<0.10.0>,12992, 13528
s<0.10.0>,13760, 14448
s<0.10.0>,18088, 20744
s<0.10.0>,14664, 14368
s<0.10.0>,18456, 15152
s<0.10.0>,18520, 15216
s<0.10.0>,14656, 14368
s<0.10.0>,18560, 15248
s<0.10.0>,13008, 13576
s<0.10.0>,13072, 13640
s<0.10.0>,13200, 13832
s<0.10.0>,14280, 14784
s<0.10.0>,14664, 14368
s<0.10.0>,39296, 35984
s<0.10.0>,14656, 14368
s<0.10.0>,25936, 22632
s<0.10.0>,26648, 23328
s<0.10.0>,18504, 15200
s<0.10.0>,17992, 14680
s<0.10.0>,13008, 13576
s<0.10.0>,10912, 13352
s<0.10.0>,19672, 21256
s<0.10.0>,35848, 22808
s<0.10.0>,55976, 38624
s<0.10.0>,60128, 62344
s<0.10.0>,93776, 93616
s<0.10.0>,93000, 89528
s<0.10.0>,92704, 64232
s<0.50.0>,318480, 264424
s<0.66.0>,31816, 21648
s<0.66.0>,13912, 21720
s<0.9.0>,148000, 156568
s<0.10.0>,235656, 253448
s<0.50.0>,894056, 454512
s<0.10.0>,148712, 157872
s<0.84.0>,639072, 397448
s<0.66.0>,24120, 24360
s<0.84.0>,90352, 400896
s<0.71.0>,19440, 15000
s<0.66.0>,26704, 23960
s<0.71.0>,13272, 14928
s<0.50.0>,1545040, 1051536
s<0.71.0>,15024, 14464
s<0.71.0>,18032, 14472
s<0.86.0>,170728, 93000
s<0.88.0>,13056, 13456
s<0.90.0>,37936, 23088
s<0.90.0>,40720, 35320
s<0.88.0>,39240, 35184
s<0.88.0>,51400, 38992
s<0.88.0>,53736, 54536
s<0.50.0>,1622872, 1065408
s<0.88.0>,44368, 40168
s<0.88.0>,82960, 66224
s<0.88.0>,100824, 107096
s<0.88.0>,136640, 173088
s<0.88.0>,221728, 259536
s<0.88.0>,284776, 278688
s<0.88.0>,204600, 279560
s<0.86.0>,91744, 148416
s<0.92.0>,15464, 8504
s<0.92.0>,19720, 13312
s<0.92.0>,31584, 21792
s<0.92.0>,47656, 35024
s<0.92.0>,50408, 54984
s<0.92.0>,42440, 88848
s<0.92.0>,30224, 144656
s<0.92.0>,47352, 142848
s<0.92.0>,47272, 231864
s<0.92.0>,29528, 373920
s<0.92.0>,37184, 374288
s<0.92.0>,36720, 603136
s<0.92.0>,44704, 974744
s<0.92.0>,34648, 1575184
s<0.92.0>,32480, 2547200
s<0.92.0>,54872, 4119680
s<0.92.0>,83864, 6665992
s<0.92.0>,91768, 10784056
s<0.92.0>,138904, 14662864
s<0.92.0>,170616, 17594992
s<0.66.0>,57016, 59792
s<0.49.0>,37128, 37024
